YearMonth,State,OccurrenceCount
2018-03,MA,618
2018-03,MD,1144
2018-03,ME,24
2018-03,MI,2091
2018-03,MN,1543
2018-03,MO,851
2018-03,MS,197
2018-03,MT,4
2018-03,NC,4324
2018-03,NE,428
2018-03,NH,186
2018-03,NJ,1490
2018-03,NM,192
2018-03,NV,203
2018-03,NY,3027
2018-03,OH,1222
2018-03,OK,1721
2018-03,OR,806
2018-03,PA,1878
2018-03,RI,203
2018-03,SC,5471
2018-03,TN,1925
2018-03,TX,7258
2018-03,UT,605
2018-03,VA,1970
2018-03,VT,20
2018-03,WA,1502
2018-03,WI,375
2018-03,WV,40
2018-03,WY,15
2018-04,AL,1049
2018-04,AR,52
2018-04,AZ,1706
2018-04,CA,13780
2018-04,CO,956
2018-04,CT,556
2018-04,DC,93
2018-04,DE,118
2018-04,FL,5497
2018-04,GA,1905
2018-04,IA,232
2018-04,ID,31
2018-04,IL,1565
2018-04,IN,1101
2018-04,KS,188
2018-04,KY,622
2018-04,LA,2098
2018-04,MA,591
2018-04,MD,898
2018-04,ME,39
2018-04,MI,2060
2018-04,MN,1775
2018-04,MO,745
2018-04,MS,192
2018-04,MT,13
2018-04,NC,5369
2018-04,NE,445
2018-04,NH,137
2018-04,NJ,1237
2018-04,NM,154
2018-04,NV,197
2018-04,NY,2885
2018-04,OH,1141
2018-04,OK,1716
2018-04,OR,610
2018-04,PA,1769
2018-04,RI,225
2018-04,SC,5392
2018-04,TN,2186
2018-04,TX,7058
2018-04,UT,635
2018-04,VA,1666
2018-04,VT,12
2018-04,WA,1502
2018-04,WI,384
2018-04,WV,62
2018-04,WY,13
2018-05,AL,1112
2018-05,AR,47
2018-05,AZ,1938
2018-05,CA,13606
2018-05,CO,1229
2018-05,CT,553
2018-05,DC,95
2018-05,DE,202
2018-05,FL,5937
2018-05,GA,1794
2018-05,IA,211
2018-05,ID,44
2018-05,IL,1813
2018-05,IN,1064
2018-05,KS,182
2018-05,KY,554
2018-05,LA,2393
2018-05,MA,897
2018-05,MD,845
2018-05,ME,29
2018-05,MI,2384
2018-05,MN,1351
2018-05,MO,772
2018-05,MS,204
2018-05,MT,5
2018-05,NC,5831
2018-05,ND,13
2018-05,NE,479
2018-05,NH,183
2018-05,NJ,1295
2018-05,NM,217
2018-05,NV,212
2018-05,NY,2892
2018-05,OH,1187
2018-05,OK,2001
2018-05,OR,651
2018-05,PA,2059
2018-05,RI,258
2018-05,SC,5990
2018-05,TN,2122
2018-05,TX,7071
2018-05,UT,711
2018-05,VA,1855
2018-05,VT,1
2018-05,WA,1761
2018-05,WI,412
2018-05,WV,60
2018-05,WY,7
2018-06,AL,957
2018-06,AR,29
2018-06,AZ,1629
2018-06,CA,12654
2018-06,CO,1005
2018-06,CT,566
2018-06,DC,85
2018-06,DE,140
2018-06,FL,4893
2018-06,GA,1923
2018-06,IA,196
2018-06,ID,31
2018-06,IL,1762
2018-06,IN,1105
2018-06,KS,136
2018-06,KY,644
2018-06,LA,1580
2018-06,MA,884
2018-06,MD,800
2018-06,ME,55
2018-06,MI,1888
2018-06,MN,1407
2018-06,MO,595
2018-06,MS,165
2018-06,MT,4
2018-06,NC,4221
2018-06,NE,336
2018-06,NH,242
2018-06,NJ,1325
2018-06,NM,160
2018-06,NV,236
2018-06,NY,3466
2018-06,OH,1319
2018-06,OK,1465
2018-06,OR,712
2018-06,PA,1824
2018-06,RI,257
2018-06,SC,3962
2018-06,TN,1793
2018-06,TX,6406
2018-06,UT,653
2018-06,VA,1803
2018-06,VT,17
2018-06,WA,2047
2018-06,WI,403
2018-06,WV,37
2018-06,WY,14
2018-07,AL,769
2018-07,AR,18
2018-07,AZ,1639
2018-07,CA,14056
2018-07,CO,869
2018-07,CT,468
2018-07,DC,57
2018-07,DE,116
2018-07,FL,5008
2018-07,GA,1833
2018-07,IA,137
2018-07,ID,51
2018-07,IL,1876
2018-07,IN,1246
2018-07,KS,137
2018-07,KY,626
2018-07,LA,1319
2018-07,MA,512
2018-07,MD,733
2018-07,ME,94
2018-07,MI,1626
2018-07,MN,1362
2018-07,MO,540
2018-07,MS,172
2018-07,MT,1
2018-07,NC,3691
2018-07,ND,2
2018-07,NE,358
2018-07,NH,167
2018-07,NJ,1076
2018-07,NM,93
2018-07,NV,210
2018-07,NY,2834
2018-07,OH,1176
2018-07,OK,1732
2018-07,OR,635
2018-07,PA,1831
2018-07,RI,285
2018-07,SC,4074
2018-07,TN,1702
2018-07,TX,5873
2018-07,UT,566
2018-07,VA,2131
2018-07,VT,7
2018-07,WA,1737
2018-07,WI,301
2018-07,WV,46
2018-07,WY,10
2018-08,AL,1166
2018-08,AR,35
2018-08,AZ,2398
2018-08,CA,15351
2018-08,CO,1250
2018-08,CT,424
