State,Hourly,OccurrenceCount
RI,12:00,637
RI,13:00,819
RI,14:00,1081
RI,15:00,1288
RI,16:00,1917
RI,17:00,1828
RI,18:00,1046
RI,19:00,515
RI,20:00,348
RI,21:00,287
RI,22:00,257
RI,23:00,72
SC,00:00,3983
SC,01:00,3420
SC,02:00,3357
SC,03:00,2819
SC,04:00,10432
SC,05:00,11045
SC,06:00,20128
SC,07:00,30023
SC,08:00,27010
SC,09:00,14876
SC,10:00,17414
SC,11:00,19413
SC,12:00,16405
SC,13:00,18358
SC,14:00,19297
SC,15:00,25853
SC,16:00,33652
SC,17:00,33524
SC,18:00,25053
SC,19:00,18170
SC,20:00,9787
SC,21:00,7361
SC,22:00,6629
SC,23:00,4548
SD,00:00,14
SD,01:00,11
SD,02:00,4
SD,03:00,4
SD,04:00,8
SD,05:00,3
SD,06:00,24
SD,07:00,4
SD,08:00,11
SD,09:00,8
SD,10:00,20
SD,11:00,6
SD,12:00,9
SD,13:00,15
SD,14:00,16
SD,15:00,7
SD,16:00,26
SD,17:00,6
SD,18:00,20
SD,19:00,5
SD,20:00,14
SD,21:00,10
SD,22:00,18
SD,23:00,26
TN,00:00,2568
TN,01:00,1536
TN,02:00,1415
TN,03:00,1285
TN,04:00,3200
TN,05:00,5469
TN,06:00,10979
TN,07:00,16637
TN,08:00,14956
TN,09:00,6752
TN,10:00,6887
TN,11:00,7468
TN,12:00,5729
TN,13:00,7027
TN,14:00,8010
TN,15:00,13251
TN,16:00,13663
TN,17:00,12623
TN,18:00,9993
TN,19:00,5222
TN,20:00,3919
TN,21:00,3459
TN,22:00,3068
TN,23:00,2272
TX,00:00,5330
TX,01:00,4770
TX,02:00,5080
TX,03:00,4421
TX,04:00,12812
TX,05:00,16846
TX,06:00,33890
TX,07:00,47428
TX,08:00,51212
TX,09:00,33864
TX,10:00,32568
TX,11:00,30426
TX,12:00,26818
TX,13:00,27776
TX,14:00,28234
TX,15:00,33661
TX,16:00,40531
TX,17:00,41569
TX,18:00,33056
TX,19:00,24629
TX,20:00,16531
TX,21:00,12999
TX,22:00,10982
TX,23:00,7404
UT,00:00,1838
UT,01:00,1265
UT,02:00,1038
UT,03:00,990
UT,04:00,2030
UT,05:00,3385
UT,06:00,5479
UT,07:00,7878
UT,08:00,8019
UT,09:00,5810
UT,10:00,4537
UT,11:00,3984
UT,12:00,4723
UT,13:00,5193
UT,14:00,4756
UT,15:00,6119
UT,16:00,6640
UT,17:00,7281
UT,18:00,5156
UT,19:00,2831
UT,20:00,2094
UT,21:00,2101
UT,22:00,2299
UT,23:00,1633
VA,00:00,4107
VA,01:00,3498
VA,02:00,3458
VA,03:00,2698
VA,04:00,6518
VA,05:00,8193
VA,06:00,15250
VA,07:00,22253
VA,08:00,22160
VA,09:00,12607
VA,10:00,12160
VA,11:00,13134
VA,12:00,15204
VA,13:00,16017
VA,14:00,18500
VA,15:00,20835
VA,16:00,24524
VA,17:00,23942
VA,18:00,17570
VA,19:00,12483
VA,20:00,8980
VA,21:00,7674
VA,22:00,6886
VA,23:00,4650
VT,00:00,19
VT,01:00,3
VT,02:00,2
VT,03:00,1
VT,04:00,22
VT,05:00,28
VT,06:00,48
VT,07:00,77
VT,08:00,87
VT,09:00,66
VT,10:00,47
VT,11:00,49
VT,12:00,35
VT,13:00,61
VT,14:00,41
VT,15:00,49
VT,16:00,82
VT,17:00,74
VT,18:00,56
VT,19:00,28
VT,20:00,17
VT,21:00,12
VT,22:00,14
VT,23:00,8
WA,00:00,1828
WA,01:00,2022
WA,02:00,1956
WA,03:00,1823
WA,04:00,2373
WA,05:00,3560
WA,06:00,5455
WA,07:00,6601
WA,08:00,6372
WA,09:00,4809
WA,10:00,5032
WA,11:00,5335
WA,12:00,5271
WA,13:00,5957
WA,14:00,6756
WA,15:00,6773
WA,16:00,7201
WA,17:00,7823
WA,18:00,5813
WA,19:00,4505
WA,20:00,3578
WA,21:00,2907
WA,22:00,2223
WA,23:00,2248
WI,00:00,265
WI,01:00,233
WI,02:00,251
WI,03:00,174
WI,04:00,734
WI,05:00,1112
WI,06:00,2263
WI,07:00,3700
WI,08:00,3841
WI,09:00,1791
WI,10:00,1647
WI,11:00,1725
WI,12:00,1380
WI,13:00,1504
WI,14:00,1843
WI,15:00,2293
WI,16:00,2619
WI,17:00,2360
WI,18:00,1685
WI,19:00,960
WI,20:00,760
WI,21:00,636
WI,22:00,525
WI,23:00,387
WV,00:00,338
WV,01:00,263
WV,02:00,226
WV,03:00,252
WV,04:00,288
WV,05:00,339
WV,06:00,478
WV,07:00,546
WV,08:00,568
WV,09:00,426
WV,10:00,469
WV,11:00,504
WV,12:00,709
WV,13:00,728
WV,14:00,769
WV,15:00,1048
WV,16:00,1173
WV,17:00,1181
WV,18:00,840
WV,19:00,606
WV,20:00,564
WV,21:00,555
WV,22:00,470
WV,23:00,453
WY,00:00,78
WY,01:00,134
WY,02:00,72
WY,03:00,68
WY,04:00,165
WY,05:00,116
WY,06:00,200
WY,07:00,239
WY,08:00,255
WY,09:00,218
WY,10:00,167
WY,11:00,177
WY,12:00,121
WY,13:00,123
WY,14:00,182
WY,15:00,196
WY,16:00,196
WY,17:00,200
WY,18:00,239
WY,19:00,205
WY,20:00,107
WY,21:00,134
WY,22:00,85
WY,23:00,80
